Web Search interest: hey jude
Worldwide; Feb 2008 - Jan 2011

Interest over time
Week,hey jude
2008-02-03 - 2008-02-09,58
2008-02-10 - 2008-02-16,66
2008-02-17 - 2008-02-23,80
2008-02-24 - 2008-03-01,76
2008-03-02 - 2008-03-08,76
2008-03-09 - 2008-03-15,70
2008-03-16 - 2008-03-22,74
2008-03-23 - 2008-03-29,71
2008-03-30 - 2008-04-05,71
2008-04-06 - 2008-04-12,66
2008-04-13 - 2008-04-19,61
2008-04-20 - 2008-04-26,91
2008-04-27 - 2008-05-03,100
2008-05-04 - 2008-05-10,66
2008-05-11 - 2008-05-17,69
2008-05-18 - 2008-05-24,67
2008-05-25 - 2008-05-31,58
2008-06-01 - 2008-06-07,61
2008-06-08 - 2008-06-14,57
2008-06-15 - 2008-06-21,54
2008-06-22 - 2008-06-28,54
2008-06-29 - 2008-07-05,52
2008-07-06 - 2008-07-12,52
2008-07-13 - 2008-07-19,48
2008-07-20 - 2008-07-26,50
2008-07-27 - 2008-08-02,48
2008-08-03 - 2008-08-09,44
2008-08-10 - 2008-08-16,40
2008-08-17 - 2008-08-23,51
2008-08-24 - 2008-08-30,53
2008-08-31 - 2008-09-06,48
2008-09-07 - 2008-09-13,52
2008-09-14 - 2008-09-20,51
2008-09-21 - 2008-09-27,52
2008-09-28 - 2008-10-04,52
2008-10-05 - 2008-10-11,47
2008-10-12 - 2008-10-18,51
2008-10-19 - 2008-10-25,47
2008-10-26 - 2008-11-01,47
2008-11-02 - 2008-11-08,43
2008-11-09 - 2008-11-15,51
2008-11-16 - 2008-11-22,44
2008-11-23 - 2008-11-29,46
2008-11-30 - 2008-12-06,47
2008-12-07 - 2008-12-13,49
2008-12-14 - 2008-12-20,43
2008-12-21 - 2008-12-27,57
2008-12-28 - 2009-01-03,48
2009-01-04 - 2009-01-10,47
2009-01-11 - 2009-01-17,49
2009-01-18 - 2009-01-24,46
2009-01-25 - 2009-01-31,42
2009-02-01 - 2009-02-07,43
2009-02-08 - 2009-02-14,43
2009-02-15 - 2009-02-21,43
2009-02-22 - 2009-02-28,44
2009-03-01 - 2009-03-07,46
2009-03-08 - 2009-03-14,46
2009-03-15 - 2009-03-21,43
2009-03-22 - 2009-03-28,49
2009-03-29 - 2009-04-04,47
2009-04-05 - 2009-04-11,46
2009-04-12 - 2009-04-18,46
2009-04-19 - 2009-04-25,50
2009-04-26 - 2009-05-02,48
2009-05-03 - 2009-05-09,74
2009-05-10 - 2009-05-16,61
2009-05-17 - 2009-05-23,56
2009-05-24 - 2009-05-30,53
2009-05-31 - 2009-06-06,51
2009-06-07 - 2009-06-13,56
2009-06-14 - 2009-06-20,59
2009-06-21 - 2009-06-27,48
2009-06-28 - 2009-07-04,50
2009-07-05 - 2009-07-11,46
2009-07-12 - 2009-07-18,46
2009-07-19 - 2009-07-25,45
2009-07-26 - 2009-08-01,47
2009-08-02 - 2009-08-08,47
2009-08-09 - 2009-08-15,46
2009-08-16 - 2009-08-22,47
2009-08-23 - 2009-08-29,47
2009-08-30 - 2009-09-05,48
2009-09-06 - 2009-09-12,75
2009-09-13 - 2009-09-19,67
2009-09-20 - 2009-09-26,58
2009-09-27 - 2009-10-03,58
2009-10-04 - 2009-10-10,52
2009-10-11 - 2009-10-17,50
2009-10-18 - 2009-10-24,49
2009-10-25 - 2009-10-31,50
2009-11-01 - 2009-11-07,71
2009-11-08 - 2009-11-14,53
2009-11-15 - 2009-11-21,57
2009-11-22 - 2009-11-28,61
2009-11-29 - 2009-12-05,60
2009-12-06 - 2009-12-12,56
2009-12-13 - 2009-12-19,60
2009-12-20 - 2009-12-26,61
2009-12-27 - 2010-01-02,60
2010-01-03 - 2010-01-09,58
2010-01-10 - 2010-01-16,56
2010-01-17 - 2010-01-23,56
2010-01-24 - 2010-01-30,53
2010-01-31 - 2010-02-06,60
2010-02-07 - 2010-02-13,57
2010-02-14 - 2010-02-20,54
2010-02-21 - 2010-02-27,49
2010-02-28 - 2010-03-06,48
2010-03-07 - 2010-03-13,49
2010-03-14 - 2010-03-20,49
2010-03-21 - 2010-03-27,49
2010-03-28 - 2010-04-03,53
2010-04-04 - 2010-04-10,79
2010-04-11 - 2010-04-17,65
2010-04-18 - 2010-04-24,55
2010-04-25 - 2010-05-01,59
2010-05-02 - 2010-05-08,55
2010-05-09 - 2010-05-15,55
2010-05-16 - 2010-05-22,57
2010-05-23 - 2010-05-29,64
2010-05-30 - 2010-06-05,65
2010-06-06 - 2010-06-12,58
2010-06-13 - 2010-06-19,52
2010-06-20 - 2010-06-26,46
2010-06-27 - 2010-07-03,47
2010-07-04 - 2010-07-10,49
2010-07-11 - 2010-07-17,48
2010-07-18 - 2010-07-24,49
2010-07-25 - 2010-07-31,55
2010-08-01 - 2010-08-07,48
2010-08-08 - 2010-08-14,47
2010-08-15 - 2010-08-21,48
2010-08-22 - 2010-08-28,50
2010-08-29 - 2010-09-04,45
2010-09-05 - 2010-09-11,46
2010-09-12 - 2010-09-18,47
2010-09-19 - 2010-09-25,49
2010-09-26 - 2010-10-02,51
2010-10-03 - 2010-10-09,58
2010-10-10 - 2010-10-16,57
2010-10-17 - 2010-10-23,49
2010-10-24 - 2010-10-30,51
2010-10-31 - 2010-11-06,54
2010-11-07 - 2010-11-13,72
2010-11-14 - 2010-11-20,75
2010-11-21 - 2010-11-27,84
2010-11-28 - 2010-12-04,61
2010-12-05 - 2010-12-11,69
2010-12-12 - 2010-12-18,65
2010-12-19 - 2010-12-25,65
2010-12-26 - 2011-01-01,70
2011-01-02 - 2011-01-08,55
2011-01-09 - 2011-01-15,54
2011-01-16 - 2011-01-22,55
2011-01-23 - 2011-01-29,52
2011-01-30 - 2011-02-05,51


Top regions for hey jude
Region,hey jude
Argentina,100
Mexico,92
Canada,70
United States,56
Italy,48
Brazil,44
Australia,37
United Kingdom,35
France,35
Spain,32
China,25
Germany,20
Japan,17


Top cities for hey jude
City,hey jude
Monterrey (Mexico),100
Buenos Aires (Argentina),96
Guadalajara (Mexico),91
Mexico City (Mexico),89
Singapore (Singapore),75
Montreal (Canada),73
Waterloo (Canada),70
Toronto (Canada),68
Santiago (Chile),64
Los Angeles (United States),64
Richardson (United States),61
Seattle (United States),59
San Francisco (United States),56
Chicago (United States),55
Milpitas (United States),55



Top searches for hey jude
hey jude lyrics,100
beatles,55
beatles hey jude,55
the beatles,25
hey you,25
chords hey jude,25
letra hey jude,15
let it be,15
beatles lyrics,15
hey jude youtube,10
hey jude guitar,10
hey jude song,10
hey jude tab,10
the beatles lyrics,10
hey jude tabs,10
hey jude album,10
across the universe,5
hey jude piano,5
testo hey jude,5
hey jude lyric,5
hey jude mp3,5
download hey jude,5
paroles hey jude,5
hey jude baby,5
traduccion hey jude,5
beatles songs,5
hey jude traduzione,5
yesterday lyrics,5
hey jude español,5
hey jude video,5
hey jude chord,5
hey jude tradução,5
hey jude meaning,5
hey jude acordes,5
beatles chords,5
yellow submarine,0
hey jude traducida,0
hey jude wiki,0
hey jude parole,0



Rising searches for hey jude
hey jude traduzione,+450%
hey jude tradução,+300%
hey jude youtube,+250%
testo hey jude,+200%
traduccion hey jude,+200%
hey jude acordes,+190%
hey jude español,+140%
hey jude baby,+120%
letra hey jude,+100%
beatles songs,+40%



